index,Address,State,City,Postal Code,Index,Location,Latitude,Longitude
0,301 Regent St,AZ,Flagstaff,86001,1,"301 Regent St Flagstaff, AZ",35.192266,-111.642786
1,1771 N Fourth St,AZ,Flagstaff,86004,2,"1771 N Fourth St Flagstaff, AZ",35.205072,-111.612581
2,"2250 Highway 95, Suit 42",AZ,Bullhead City,86442,3,"2250 Highway 95, Suit 42 Bullhead City, AZ",35.104607,-114.596733
3,3701 N Stockton Hill Rd,AZ,Kingman,86409,4,"3701 N Stockton Hill Rd Kingman, AZ",35.230096,-114.037474
4,5963 E State Rt 69,AZ,Prescott Valley,86314,5,"5963 E State Rt 69 Prescott Valley, AZ",34.578844,-112.361398
5,3169 Willow Creek Rd,AZ,Prescott,86301,6,"3169 Willow Creek Rd Prescott, AZ",34.598127,-112.45808
6,1519 E. State Route 89A,AZ,Cottonwood,86326,7,"1519 E. State Route 89A Cottonwood, AZ",34.728358,-112.010775
7,8387 W. Thunderbird Rd.,AZ,Peoria,85381,8,"8387 W. Thunderbird Rd. Peoria, AZ",33.609666,-112.239922
8,14160 W. Indian School Rd.,AZ,Goodyear,85395,9,"14160 W. Indian School Rd. Goodyear, AZ",33.486296,-112.363481
9,13855 W. Bell Rd,AZ,Surprise,85374,10,"13855 W. Bell Rd Surprise, AZ",33.638203,-112.358296
10,13929 N 83rd Ave,AZ,Peoria,85226,11,"13929 N 83rd Ave Peoria, AZ",33.611281,-112.236937
11,5724 W. Bell Road,AZ,Glendale,85308,12,"5724 W. Bell Road Glendale, AZ",33.638973,-112.183268
12,6965 N 95th Ave.,AZ,Glendale,85305,13,"6965 N 95th Ave. Glendale, AZ",33.536694,-112.263337
13,580 N Estrella Pkwy,AZ,Goodyear,85338,14,"580 N Estrella Pkwy Goodyear, AZ",33.452995,-112.392991
14,1005 S Watson Rd.,AZ,Buckeye,85326,15,"1005 S Watson Rd. Buckeye, AZ",33.437707,-112.555842
15,1037 S. Rural Rd.,AZ,Tempe,85281,16,"1037 S. Rural Rd. Tempe, AZ",33.416979,-111.926038
16,2961 E. Bell Rd.,AZ,Phoenix,85032,17,"2961 E. Bell Rd. Phoenix, AZ",33.640336,-112.018022
17,2012 N Scottsdale Rd,AZ,Scottsdale,85257,18,"2012 N Scottsdale Rd Scottsdale, AZ",33.46973,-111.927272
18,4433 N 7th Street,AZ,Phoenix,85014,19,"4433 N 7th Street Phoenix, AZ",33.500889,-112.064608
19,3213 S. Mill Ave.,AZ,Tempe,85282,20,"3213 S. Mill Ave. Tempe, AZ",33.394024,-111.93936
20,1960 E. McKellips Rd.,AZ,Mesa,85203,21,"1960 E. McKellips Rd. Mesa, AZ",33.452011,-111.788042
21,722 N. McQueen Rd.,AZ,Gilbert,85233,22,"722 N. McQueen Rd. Gilbert, AZ",33.362969,-111.824983
22,6461 S. Rural Rd.,AZ,Tempe,85283,23,"6461 S. Rural Rd. Tempe, AZ",33.362826,-111.928369
23,1136 S. Greenfield Rd.,AZ,Mesa,85206,24,"1136 S. Greenfield Rd. Mesa, AZ",33.394821,-111.737092
24,1201 E. Glendale Ave.,AZ,Phoenix,85020,25,"1201 E. Glendale Ave. Phoenix, AZ",33.537627,-112.055866
25,12629 N. Paradise Village Pkwy.,AZ,Phoenix,85032,26,"12629 N. Paradise Village Pkwy. Phoenix, AZ",33.602169,-111.988111
26,1326 S. Alma School Rd,AZ,Mesa,85210,27,"1326 S. Alma School Rd Mesa, AZ",33.39057,-111.857725
27,459 N. Gilbert Rd,AZ,Gilbert,85234,28,"459 N. Gilbert Rd Gilbert, AZ",33.358618,-111.788078
28,6235 E. Bell Rd.,AZ,Scottsdale,85254,29,"6235 E. Bell Rd. Scottsdale, AZ",33.639992,-111.945266
29,20795 N. Scottsdale Rd.,AZ,Scottsdale,85255,30,"20795 N. Scottsdale Rd. Scottsdale, AZ",33.675746,-111.924628
30,3045 E. Indian School Rd,AZ,Phoenix,85016,31,"3045 E. Indian School Rd Phoenix, AZ",33.494856,-112.016004
31,3670 S Val Vista DR.,AZ,Gilbert,85297,32,"3670 S Val Vista DR. Gilbert, AZ",33.28386,-111.755862
32,3215 E Chandler Blvd,AZ,Phoenix,85048,33,"3215 E Chandler Blvd Phoenix, AZ",33.304566,-112.013402
33,15600 N Hayden Rd,AZ,Scottsdale,85260,34,"15600 N Hayden Rd Scottsdale, AZ",33.627902,-111.896655
34,3665 W Chandler Blvd,AZ,Chandler,85226,35,"3665 W Chandler Blvd Chandler, AZ",33.305147,-111.905102
35,1370 S Higley Rd,AZ,Gilbert,85296,36,"1370 S Higley Rd Gilbert, AZ",33.325432,-111.721889
36,34350 N Cave creek road,AZ,Cave Creek ,85331,37,"34350 N Cave creek road Cave Creek , AZ",33.79595,-111.966367
37,8975 N 90th Street,AZ,Scottsdale,85250,38,"8975 N 90th Street Scottsdale, AZ",33.567609,-111.886916
38,3055 S Gilbert Rd,AZ,Chandler,85286,39,"3055 S Gilbert Rd Chandler, AZ",33.294934,-111.789554
39,20232 N John Wayne Pkwy,AZ,Maricopa,85139,40,"20232 N John Wayne Pkwy Maricopa, AZ",33.063064,-112.048762
40,2211 E Florence Blvd,AZ,Casa Grande,85122,41,"2211 E Florence Blvd Casa Grande, AZ",32.879303,-111.692002
41,5690 W Cortaro Farms Rd,AZ,Tucson,85742,42,"5690 W Cortaro Farms Rd Tucson, AZ",32.360189,-111.0866
42,9730 N. Oracle Road,AZ,Oro Valley,85704,43,"9730 N. Oracle Road Oro Valley, AZ",32.383523,-110.963319
43,4144 W Ina RD,AZ,Tucson,85741,44,"4144 W Ina RD Tucson, AZ",32.338033,-111.053611
44,4565 N Oracle Rd,AZ,Tucson ,85705,45,"4565 N Oracle Rd Tucson , AZ",32.289162,-110.978716
45,4621 E. Grant Rd,AZ,Tucson,85712,46,"4621 E. Grant Rd Tucson, AZ",32.251145,-110.894496
46,3901 E 22nd St. ,AZ,Tucson,85712,47,"3901 E 22nd St.  Tucson, AZ",32.207615,-110.909105
47,3700 E Speedway Blvd SEC ,AZ,Tucson ,85716,48,"3700 E Speedway Blvd SEC  Tucson , AZ",32.235848,-110.912868
48,1971 Valencia Rd,AZ,Tucson,85746,49,"1971 Valencia Rd Tucson, AZ",32.133407,-111.008923
49,18800 S Nogales Hwy,AZ,Green Valley,85614,50,"18800 S Nogales Hwy Green Valley, AZ",31.908558,-110.982889
50,2995 S. Kino Parkway,AZ,Tucson,85713,51,"2995 S. Kino Parkway Tucson, AZ",32.187271,-110.944168
51,120 S Wilmot Rd.,AZ,Tucson,85711,52,"120 S Wilmot Rd. Tucson, AZ",32.220018,-110.858405
52,9330 E Golf Links Rd,AZ,Tucson,85748,53,"9330 E Golf Links Rd Tucson, AZ",32.191274,-110.793286
53,10105 E Old Vail Rd,AZ,Tucson,85747,54,"10105 E Old Vail Rd Tucson, AZ",32.089637,-110.77683
54,6725 E Tanque Verde Rd,AZ,Tucson,85712,55,"6725 E Tanque Verde Rd Tucson, AZ",32.249097,-110.849253
55,475 North Highway 90,AZ,Sierra Vista,85635,56,"475 North Highway 90 Sierra Vista, AZ",31.560337,-110.257205
56,1512 S. 4th Ave,AZ,Yuma ,85364,57,"1512 S. 4th Ave Yuma , AZ",32.700013,-114.625009
57,3002 South 4th Aze,AZ,Yuma ,85364,58,"3002 South 4th Aze Yuma , AZ",32.672763,-114.625149
58,11350 S Fortuna Rd,AZ,Yuma,85367,59,"11350 S Fortuna Rd Yuma, AZ",32.664807,-114.444645
59,20898 E. Queen Creek Rd.,AZ,Queen Creek,85142,60,"20898 E. Queen Creek Rd. Queen Creek, AZ",33.263788,-111.632682
60,38158 N. Gantzel Rd.,AZ,San Tan Valley,85140,61,"38158 N. Gantzel Rd. San Tan Valley, AZ",33.225365,-111.563684
61,944 W Apache Trail,AZ,Apache Junction,85120,62,"944 W Apache Trail Apache Junction, AZ",33.415681,-111.557112
62,2709 S Singal Butte Rd.,AZ,Mesa,85209,63,"2709 S Singal Butte Rd. Mesa, AZ",33.365903,-111.600889
63,602 S Beeline Hwy,AZ,Payson,85541,64,"602 S Beeline Hwy Payson, AZ",34.233269,-111.323952
64,711 Broadway,CA,Sonoma,95476,65,"711 Broadway Sonoma, CA",38.288149,-122.458764
65,2815 B Jefferson St,CA,Napa,94558,66,"2815 B Jefferson St Napa, CA",38.313946,-122.297712
66,1509 E Hammer Ln,CA,Stockton,95210,67,"1509 E Hammer Ln Stockton, CA",38.021247,-121.293785
67,1130 E March Lane,CA,Stockton,95210,68,"1130 E March Lane Stockton, CA",38.001509,-121.291745
68,1665 pacific ave,CA,Stockton,95204,69,"1665 pacific ave Stockton, CA",37.968625,-121.299101
69,139 S Center St,CA,Stockton,95202,70,"139 S Center St Stockton, CA",37.950607,-121.291159
70,1105 W Yosemite Ave,CA,Manteca,95337,71,"1105 W Yosemite Ave Manteca, CA",37.797773,-121.231702
71,15135 Old Harlan Rd,CA,Lathrop,95330,72,"15135 Old Harlan Rd Lathrop, CA",37.825017,-121.289531
72,1220 Colony Rd,CA,Ripon,95366,73,"1220 Colony Rd Ripon, CA",37.753544,-121.136254
73,810 N Yosemite Ave,CA,Oakdale,95361,74,"810 N Yosemite Ave Oakdale, CA",37.776376,-120.853131
74,1201 W. Monte Vista Ave,CA,Turlock,95382,75,"1201 W. Monte Vista Ave Turlock, CA",37.522283,-120.862916
75,1524 McHenry Ave,CA,Modesto,95350,76,"1524 McHenry Ave Modesto, CA",37.666238,-120.992566
76,901 N. Carpenter Rd.,CA,Modesto,95351,77,"901 N. Carpenter Rd. Modesto, CA",37.648026,-121.032118
77,699 N Golden State Rd,CA,Turlock,95380,78,"699 N Golden State Rd Turlock, CA",37.499397,-120.850205
78,2005 E Childs Ave,CA,Merced,95341,79,"2005 E Childs Ave Merced, CA",37.288259,-120.452925
79,1430 E Pacheco Blvd,CA,Los Banos,93635,80,"1430 E Pacheco Blvd Los Banos, CA",37.057266,-120.832894
80,575 W Olive Ave,CA,Merced,95348,81,"575 W Olive Ave Merced, CA",37.319633,-120.477619
81,1773 W. Bullard Ave.,CA,Fresno,93711,82,"1773 W. Bullard Ave. Fresno, CA",36.822475,-119.825912
82,1768 W. Shaw Ave,CA,Fresno,93711,83,"1768 W. Shaw Ave Fresno, CA",36.808674,-119.825685
83,4982 E. Ashlan Ave.,CA,Fresno,93726,84,"4982 E. Ashlan Ave. Fresno, CA",36.793812,-119.728545
84,1831 E. McKinley Ave,CA,Fresno,93703,85,"1831 E. McKinley Ave Fresno, CA",36.76526,-119.788935
85,10033 N Maple Avenue,CA,Fresno,93720,86,"10033 N Maple Avenue Fresno, CA",36.881384,-119.748689
86,7090 N Palm Ave Suite 101,CA,Fresno,93620,87,"7090 N Palm Ave Suite 101 Fresno, CA",36.838425,-119.807841
87,1690 Herndon Ave,CA,Clovis,93611,88,"1690 Herndon Ave Clovis, CA",36.837105,-119.68448
88,6770 N Brawley Ave. Suite 101,CA,Fresno,93711,89,"6770 N Brawley Ave. Suite 101 Fresno, CA",36.836849,-119.861812
89,525 Academy Ave.,CA,Sanger,93657,90,"525 Academy Ave. Sanger, CA",36.712102,-119.557254
90,113 Riverwalk Blvd S.,CA,Madera,93636,91,"113 Riverwalk Blvd S. Madera, CA",36.962353,-120.063484
91,715 Sunrise Ave,CA,Roseville,95661,92,"715 Sunrise Ave Roseville, CA",38.735146,-121.271748
92,8663 Auburn Folsom Rd.,CA,Granite Bay,95746,93,"8663 Auburn Folsom Rd. Granite Bay, CA",38.741601,-121.170211
93,1225 Baseline Road,CA,Roseville,95661,94,"1225 Baseline Road Roseville, CA",38.7516,-121.310401
94,430 S. Main St.,CA,Red Bluff,96080,95,"430 S. Main St. Red Bluff, CA",40.16639,-122.227793
95,796 Antelope Blvd,CA,Red Bluff,96080,96,"796 Antelope Blvd Red Bluff, CA",40.186071,-122.197255
96,904 Newville Rd.,CA,Orland,95963,97,"904 Newville Rd. Orland, CA",39.749641,-122.202056
97,2340 Oro Dam Blvd. E.,CA,Oroville,95966,98,"2340 Oro Dam Blvd. E. Oroville, CA",39.505709,-121.547647
98,6901 Skyway,CA,Paradise,95969,99,"6901 Skyway Paradise, CA",39.76412,-121.620472
